SpaceType,Type,MajorCategory,MinorCategory,Status
STAIRS,EMERGENCY,ELECTRIC,NO LIGHTING,OPEN
ENTIRE APARTMENT,EMERGENCY,SAFETY,WINDOW GUARD BROKEN/MISSING,CLOSE
BATHROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,CLOSE
PRIVATE HALL,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
HALLWAY,EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,ELECTRIC,OUTLET/SWITCH,CLOSE
BEDROOM,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
ROOF,EMERGENCY,OUTSIDE BUILDING,ROOF DOOR/HATCH,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,GENERAL,VENTILATION SYSTEM,OPEN
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
KITCHEN,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
ROOF,EMERGENCY,OUTSIDE BUILDING,ROOFING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTRANCE/FOYER,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,OPEN
BATHROOM,EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,CLOSE
STAIRS,EMERGENCY,FLOORING/STAIRS,STAIRS,OPEN
BATHROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
LIVING ROOM,NON EMERGENCY,PAINT/PLASTER,CEILING,OPEN
KITCHEN,EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BEDROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
ENTIRE APARTMENT,NON EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,NON EMERGENCY,PLUMBING,BASIN/SINK,OPEN
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING ENTRANCE,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
HALLWAY,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,ELECTRIC,OUTLET/SWITCH,CLOSE
BUILDING-WIDE,EMERGENCY,GENERAL,COOKING GAS,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
KITCHEN,NON EMERGENCY,GENERAL,VENTILATION SYSTEM,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
BEDROOM,NON EMERGENCY,DOOR/WINDOW,DOOR FRAME,CLOSE
KITCHEN,NON EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTRANCE/FOYER,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,PLUMBING,TOILET,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,NON EMERGENCY,PAINT/PLASTER,CEILING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,NON EMERGENCY,GENERAL,CABINET,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BEDROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,CABINET,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTIRE APARTMENT,EMERGENCY,GENERAL,COOKING GAS,CLOSE
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BEDROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BATHROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,IMMEDIATE EMERGENCY,PLUMBING,WATER SUPPLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
LIVING ROOM,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
BUILDING-WIDE,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,SEWAGE,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BATHROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
OTHER ROOM/AREA,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,NON EMERGENCY,GENERAL,JANITOR/SUPER,OPEN
ENTRANCE/FOYER,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,CLOSE
HALLWAY,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
BATHROOM,EMERGENCY,PLUMBING,TOILET,OPEN
KITCHEN,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,GENERAL,VENTILATION SYSTEM,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,NON EMERGENCY,GENERAL,VENTILATION SYSTEM,OPEN
KITCHEN,EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,OPEN
ENTRANCE/FOYER,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
LIVING ROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
KITCHEN,NON EMERGENCY,PAINT/PLASTER,CEILING,OPEN
KITCHEN,NON EMERGENCY,ELECTRIC,OUTLET/SWITCH,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTRANCE/FOYER,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
ENTRANCE/FOYER,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
BATHROOM,NON EMERGENCY,PLUMBING,WATER SUPPLY,OPEN
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BATHROOM,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,IMMEDIATE EMERGENCY,PLUMBING,STEAM PIPE/RISER,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
KITCHEN,NON EMERGENCY,APPLIANCE,REFRIGERATOR,CLOSE
BATHROOM,EMERGENCY,PLUMBING,TOILET,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
LIVING ROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTRANCE/FOYER,EMERGENCY,DOOR/WINDOW,DOOR,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
ENTIRE APARTMENT,EMERGENCY,GENERAL,COOKING GAS,CLOSE
BEDROOM,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
YARD,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
BATHROOM,EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,GENERAL,COOKING GAS,OPEN
ENTIRE APARTMENT,EMERGENCY,SAFETY,CARBON MONOXIDE DETECTOR,OPEN
LIVING ROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,CLOSE
BATHROOM,EMERGENCY,PLUMBING,TOILET,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
OTHER ROOM/AREA,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
STAIRS,IMMEDIATE EMERGENCY,FLOORING/STAIRS,STAIRS,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
KITCHEN,EMERGENCY,SAFETY,WINDOW GUARD BROKEN/MISSING,OPEN
BATHROOM,NON EMERGENCY,PAINT/PLASTER,CEILING,OPEN
BEDROOM,EMERGENCY,SAFETY,WINDOW GUARD BROKEN/MISSING,OPEN
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW PANE,OPEN
BATHROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
BEDROOM,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,NON EMERGENCY,PAINT/PLASTER,CEILING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ROOF,EMERGENCY,OUTSIDE BUILDING,ROOFING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING ENTRANCE,EMERGENCY,OUTSIDE BUILDING,PORCH/BALCONY,CLOSE
LIVING ROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTRANCE/FOYER,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,IMMEDIATE EMERGENCY,PLUMBING,WATER SUPPLY,CLOSE
BATHROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
KITCHEN,IMMEDIATE EMERGENCY,PLUMBING,WATER SUPPLY,CLOSE
KITCHEN,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
KITCHEN,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BEDROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
OTHER ROOM/AREA,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
LIVING ROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
BEDROOM,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
BATHROOM,EMERGENCY,PLUMBING,RADIATOR,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
KITCHEN,EMERGENCY,DOOR/WINDOW,WINDOW PANE,OPEN
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
KITCHEN,NON EMERGENCY,APPLIANCE,REFRIGERATOR,OPEN
BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
BEDROOM,EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BATHTUB/SHOWER,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
LIVING ROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,OPEN
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,OPEN
OTHER ROOM/AREA,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
COMPACTOR CLOSET,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
KITCHEN,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
HALLWAY,NON EMERGENCY,ELECTRIC,LIGHTING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,PLUMBING,TOILET,OPEN
BUILDING ENTRANCE,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
PRIVATE HALL,EMERGENCY,ELECTRIC,WIRING,OPEN
OTHER ROOM/AREA,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BEDROOM,NON EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
OTHER ROOM/AREA,EMERGENCY,DOOR/WINDOW,WINDOW PANE,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
KITCHEN,NON EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
LOBBY,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,CEILING,OPEN
ENTIRE APARTMENT,EMERGENCY,ELECTRIC,LIGHTING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,SAFETY,WINDOW GUARD BROKEN/MISSING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,GENERAL,COOKING GAS,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
LOBBY,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,IMMEDIATE EMERGENCY,PLUMBING,WATER SUPPLY,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BEDROOM,NON EMERGENCY,ELECTRIC,OUTLET/SWITCH,OPEN
KITCHEN,EMERGENCY,ELECTRIC,WIRING,OPEN
BUILDING ENTRANCE,EMERGENCY,DOOR/WINDOW,DOOR,CLOSE
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
KITCHEN,NON EMERGENCY,PLUMBING,BASIN/SINK,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
OTHER ROOM/AREA,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
ENTRANCE/FOYER,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
